speid	spename
5537	Mycobacterium asiaticum
5538	Anaerobiospirillum succiniciproducens
678	Brucella neotomae
5540	Bartonella doshiae
5541	Nocardia carnea
5542	Nocardia transvalensis
5543	Mycolicibacterium peregrinum
5544	Actinomyces gerencseriae
5545	Clostridium haemolyticum
5546	Cardiobacterium valvarum
5547	Rickettsia sibirica
5548	Mycobacterium bouchedurhonense
5549	Actinomadura pelletieri
5550	Bartonella koehlerae
